Attack ID,Attack Name,Tool,Expected Detection,Detected,Detection Source,MITRE Technique,False Positive Notes,Evidence
ATTACK-001,Internal Nmap service scan,nmap,Packet socket or suspicious network scan,Yes,Falco,T1046 - Network Service Discovery,None observed,"evidence/raw-telemetry/nmap-scan-vulnerable-web.txt; evidence/alerts/falco-after-nmap.txt"
ATTACK-002,User creation inside container,useradd,User-management command inside container,Yes,Falco custom rule,T1136.001 - Create Account: Local Account,"Possible if admin/debug containers legitimately run user-management commands","evidence/raw-telemetry/user-creation-labsvc01.txt; evidence/alerts/falco-after-user-creation.txt; rules/falco/custom-rules-values.yaml; evidence/raw-telemetry/user-creation-labsvc02-custom-rule-test.txt; evidence/alerts/falco-after-custom-user-rule.txt"
ATTACK-003,Privileged pod host filesystem access,cat/head/ls via hostPath,Container reads host filesystem through /host,Yes,Falco custom rule,T1611 - Escape to Host,"Possible for legitimate node-debugging or security tooling pods","manifests/privileged-debugger.yaml; evidence/raw-telemetry/privileged-debugger-host-access-custom-rule-test.txt; evidence/alerts/falco-after-custom-hostpath-rule.txt"
ATTACK-004,Reverse shell from container,bash/netcat,Redirect shell stdin/stdout to network connection,Yes,Falco default rule,T1059 - Command and Scripting Interpreter,"Possible during legitimate remote debugging but rare in production","evidence/raw-telemetry/reverse-shell-attacker-ip.txt; evidence/raw-telemetry/reverse-shell-listener-log.txt; evidence/alerts/falco-after-reverse-shell.txt"
