"Algorithm","Hash","Path"
"SHA256","9A20EB7A144EB49F879D02E4E588A473C5BC9EA469563ACDFD300B5B743FBA10","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\encoded-command-marker.txt"
"SHA256","D94C13B2F1925ECE103C27497617C0C3FA6EF30C86170DA8F1B956469D15A59A","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\documents\budget-notes.txt"
"SHA256","460B6633D6B0F13A5323787D9803E32A74F235C6112A72A6B513AD1504F7AEA3","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\documents\planning-notes.txt"
"SHA256","1853A4C679232586C9050FF69DA74505ADD6EB636B8DEC52FA2A6F6ADBDE6477","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\projects\config.txt"
"SHA256","3FB7AE297E04A2BA3F13707EA7FEC127F3EDB89ABCF83243EB9E3DF3F6174410","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\projects\database-env.txt"
"SHA256","82D7BF48949E5E8D842EB1A24A50E35D8ED08702F568682DE2C7674E413D0767","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\projects\main.py"
