"Algorithm","Hash","Path"
"SHA256","9A20EB7A144EB49F879D02E4E588A473C5BC9EA469563ACDFD300B5B743FBA10","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\encoded-command-marker.txt"
"SHA256","0275D6182A0BCE6CB567B6FD16DD82598A1AF0351F0E4FC3174E4B9444CF863A","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\documents\budget-notes.txt.locked-lab"
"SHA256","E1FAE0E496A3E9EB3A77E0F043A6471827CDAA10A09F39C4AD6C71A378493F02","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\documents\planning-notes.txt.locked-lab"
"SHA256","5A526A8F6D1911BCA459A1AF9D293D6A071DF2854B0E6C675059EA3E5BC9CB80","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\projects\config.txt"
"SHA256","03DD3DE341D613FE7A2D44DF7763CA0F1DD9A656862EEF2134A819D9105F39C4","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\projects\database-env.txt"
"SHA256","53D003AE7045D6980FC00C5E6D5EB3150E63403ECD8B59A11782E0B211EDCC0C","C:\Users\Tals' CyberHub\Documents\GitHub\home-soc-lab-wazuh\ransomware-response-tabletop\lab-workspace\projects\main.py"
